seqName	clade
BQ.1.1.21	22E
BQ.1.1.16	22E
BQ.1.1.22	22E
BQ.1.1.17	22E
BQ.1.1.20	22E
BQ.1.1.23	22E
BQ.1.1.25	22E
BQ.1.1.24	22E
BQ.1.1.13	22E
BQ.1.1.31	22E
BQ.1.1.30	22E
BQ.1.1.28	22E
BQ.1.1.29	22E
BQ.1.1.26	22E
BQ.1.1.32	22E
BQ.1.1.44	22E
BQ.1.1.27	22E
BQ.1.1.35	22E
BQ.1.1.37	22E
BQ.1.1.38	22E
BQ.1.1.36	22E
BQ.1.1.39	22E
BQ.1.1.40	22E
BQ.1.1.34	22E
BQ.1.1.42	22E
BQ.1.1.43	22E
BQ.1.1.54	22E
BQ.1.1.45	22E
BQ.1.1.53	22E
BQ.1.1.52	22E
BQ.1.1.49	22E
BQ.1.1.51	22E
BQ.1.1.47	22E
BQ.1.1.48	22E
BQ.1.1.41	22E
BQ.1.1.55	22E
BQ.1.1.65	22E
BQ.1.1.57	22E
BQ.1.1.58	22E
BQ.1.1.62	22E
BQ.1.1.61	22E
BQ.1.1.67	22E
BQ.1.1.59	22E
BQ.1.1.63	22E
BQ.1.1.64	22E
BQ.1.1.66	22E
BQ.1.1.69	22E
BQ.1.1.70	22E
BQ.1.1.68	22E
BQ.1.1.46	22E
BQ.1.1.71	22E
BQ.1.1.72	22E
BQ.1.2.3	22E
BQ.1.2.2	22E
BQ.1.1.76	22E
BQ.1.1.56	22E
BQ.1.2	22E
BQ.1.2.1	22E
BQ.1.1.78	22E
BQ.1.1.79	22E
BQ.1.1.77	22E
BQ.1.1.60	22E
BQ.1.3	22E
BQ.1.3.1	22E
BQ.1.8.2	22E
BQ.1.9	22E
BQ.1.3.2	22E
BQ.1.7	22E
BQ.1.4	22E
BQ.1.6	22E
BQ.1.8	22E
BQ.1.8.1	22E
BQ.1.1.74	22E
BQ.1.10	22E
BQ.1.15	22E
BQ.1.13	22E
BQ.1.10.3	22E
BQ.1.10.2	22E
BQ.1.11	22E
BQ.1.10.1	22E
