count,date,nextcladePangoLineage,nextstrainClade
1,2024-06-20,KU.2,24A
3,2024-02-22,JN.1.4.8,24A
3,2024-02-13,JN.1.34,24A
2,2024-06-05,KP.2.2.1,24B
2,2024-08-12,XDV.1.1,24D
23,2024-03-28,JN.1.8.1,24A
1,2024-04-16,KP.2.7,24B
1,2024-01-05,XDD.1,recombinant
1,2025-03-01,XEC.1,24F
10,2024-02-27,KP.2,24B
1,2025-02-26,XEC.2.1,24F
3,2024-02-26,JN.1.47,24A
14,2024-08-19,KP.3.2.3,24C
11,2024-01-02,JN.1.8,24A
1,2024-12-02,KS.1.1,24A
1,2024-03-02,LK.2,24A
30,2024-02-16,JN.1.8.1,24A
1,2024-05-19,LF.2,24A
1,2025-01-14,MC.10,24E
2,2024-05-20,KP.3.1.5,24C
3,2024-05-26,KR.1.2,24A
1,2025-01-29,LP.8.1.2,25A
1,2024-07-04,LU.1,24A
2,2024-04-01,JN.1.1,24A
1,2024-08-20,MD.1.1,24A
1,2025-03-17,XEC.11.1,24F
1,2024-10-01,JN.1.16.1,24A
24,2024-01-22,JN.1.42,24A
2,2024-06-02,KP.3.4,24C
1,2024-02-20,JN.1.3,24A
2,2024-03-29,JN.1.16,24A
2,2024-05-11,JN.1.4.9,24A
1,2024-01-27,JN.1.31,24A
6,2024-03-10,KV.2,24A
6,2024-06-26,JN.1.7,24A
1,2024-05-21,JN.1.42,24A
4,2024-04-11,JN.1.4.6,24A
2,2024-05-14,JN.1.7.2,24A
2,2024-09-24,JN.1.16,24A
4,2024-01-26,JN.6,23I
14,2024-05-04,KP.2,24B
7,2024-12-20,XEC.9,24F
3,2024-03-28,JN.1.7.2,24A
1,2024-07-12,XDK.4.1,recombinant
4,2024-06-05,KP.2.24,24B
1,2024-04-04,MD.2,24A
1,2024-12-03,LB.1.7,24A
1,2024-03-07,JN.1.24,24A
2,2025-02-06,XEC.2.2,24F
2,2024-03-29,JN.1.4.6,24A
24,2024-09-19,MC.16,24E
2,2024-04-03,JN.1.8,24A
1,2024-03-28,LB.1.7,24A
1,2024-06-03,LF.4.1,24A
1,2024-07-26,LP.2,24B
4,2025-01-06,XEC.4,24F
1,2024-10-21,LW.1,24C
7,2024-07-01,KS.1,24A
1,2024-09-17,MC.11.1,24E
34,2024-02-19,JN.1.4.5,24A
7,2025-02-11,MC.28.1.1,24E
1,2024-04-01,LK.2,24A
3,2024-02-01,KP.1,24B
2,2024-04-29,JN.1.18,24A
1,2024-12-23,MC.13,24E
1,2024-10-07,XEK.2,recombinant
2,2024-02-16,KP.4.1.1,24B
1,2024-11-18,NY.5,25A
2,2025-03-21,LF.7.2.1,24H
3,2024-04-18,LA.1,24A
3,2024-01-16,KL.1,23F
1,2025-01-30,XEC.1,24F
2,2024-04-16,KP.3.1.4,24C
3,2024-04-18,JN.1.62,24A
1,2024-07-16,MC.2,24E
2,2024-10-03,MC.11,24E
