method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.009706780071758018,0.0067001509621792766,731.7357584869432,730.4132106512949,50,50,40,0.6541927580658129,0.07142857142857142,836
BFGS,0.012838025661841678,0.00722330033865925,1639.8754000661247,1116.2660006855735,50,50,44,0.6818069018952876,0.07142857142857142,900
BFGS,0.009893429439374773,0.0068251169270547715,648.4840288265723,635.0305538249333,50,50,38,0.5891449211533869,0.07142857142857142,830
BFGS,0.013539783588796818,0.013741291381093618,2018.0947584870746,2171.7673245007627,50,50,45,0.6802632219060764,0.07142857142857142,908
BFGS,0.017217225221168322,0.011249403121532131,3679.508078873134,1668.8089559056118,50,50,38,0.423270022519126,0.07142857142857142,968
BFGS,0.02014079905103846,0.013406548109660963,2263.908325553548,1320.3718610411838,50,50,39,0.5537653051659682,0.07142857142857142,872
BFGS,0.011224121070992316,0.008620393172754795,1132.3995190808753,986.3603786378081,50,50,41,0.6035241496914483,0.07142857142857142,857
BFGS,0.011039724658809074,0.006841557072433033,1285.9517113847742,559.1624659028878,50,50,39,0.5007975153831331,0.07142857142857142,920
BFGS,0.01180764928867022,0.012931157569317295,806.8838503052741,905.7632801459494,50,50,37,0.6154116391346095,0.07142857142857142,750
stepwiseBFGS,0.011237863006912149,0.00673703485820524,1419.3863413449205,749.8030150461537,50,50,42,0.5780350278401112,0.07142857142857142,943
stepwiseBFGS,0.009706597676891495,0.006699658553995435,731.7038265806578,730.3556298830799,50,50,40,0.6541927580658129,0.07142857142857142,836
stepwiseBFGS,0.012838639438190991,0.007223423068264881,1639.979950034018,1116.2852729816464,50,50,44,0.6818069018952876,0.07142857142857142,900
stepwiseBFGS,0.00989359202362276,0.006825335754323557,648.4992920368152,635.0454323120777,50,50,38,0.5891449211533869,0.07142857142857142,830
stepwiseBFGS,0.013535023356747682,0.013731081508768478,2017.4512292209706,2170.256289604571,50,50,45,0.6802632219060764,0.07142857142857142,908
stepwiseBFGS,0.017217329475156827,0.011249499512602838,3679.4843320147475,1668.8410938837455,50,50,38,0.423270022519126,0.07142857142857142,968
stepwiseBFGS,0.020147315284736567,0.013390343772061147,2264.8020267743977,1319.594346264946,50,50,39,0.5537653051659682,0.07142857142857142,872
stepwiseBFGS,0.011224101205270624,0.00862041923040597,1132.4122670020774,986.3632035158548,50,50,41,0.6035241496914483,0.07142857142857142,857
stepwiseBFGS,0.011033589438443105,0.006842009275632635,1284.983094146722,559.2863974004799,50,50,39,0.5007975153831331,0.07142857142857142,920
stepwiseBFGS,0.011807467288278159,0.012930825008839351,806.8674973192988,905.7354635409423,50,50,37,0.6154116391346095,0.07142857142857142,750
BFGS,0.011518401958219708,0.005812864201428875,1221.4834446582909,993.9485143476891,100,50,45,0.5785592360842041,0.07142857142857142,943
BFGS,0.006453956552503065,0.005579475976910049,1516.4560766030786,1197.8447970186282,100,50,47,0.6552727832016424,0.07142857142857142,836
BFGS,0.008385080430804374,0.010096002315641025,1071.5373231323579,1519.1210790769896,100,50,44,0.6817799702301937,0.07142857142857142,900
BFGS,0.01309104509957331,0.011246097520703055,1341.5397488785745,1451.87044453318,100,50,45,0.5908252351367977,0.07142857142857142,830
BFGS,0.004638879438373781,0.00294460219240104,1194.8668808326581,784.435856252828,100,50,47,0.6804979456698542,0.07142857142857142,908
BFGS,0.01527517479021027,0.007627526280039397,4404.067365405329,2328.4189435903913,100,50,43,0.4240617489733097,0.07142857142857142,968
BFGS,0.02310781832862906,0.018015187130090756,2490.5557029862794,2422.4049900744017,100,50,43,0.5545189782574687,0.07142857142857142,872
BFGS,0.01114914916434619,0.008575752721038615,1894.3614735542092,1783.7354794358296,100,50,47,0.6042801018309588,0.07142857142857142,857
BFGS,0.009061363617892455,0.008743328042179694,1014.6881360660786,981.1148916550743,100,50,44,0.5017172011496097,0.07142857142857142,920
BFGS,0.019713782872002816,0.012117232256025899,1314.9226766858576,641.6513138339617,100,50,42,0.6167782081639369,0.07142857142857142,750
stepwiseBFGS,0.011518242305311231,0.005812874165470563,1221.471003268997,993.9501638907036,100,50,45,0.5785592360842041,0.07142857142857142,943
