method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
stepwiseBFGS,0.0001483526138266692,28.331546310543676,1000,50,50,0.6747817125775883,0.07142857142857142,1000
stepwiseBFGS,0.00022114324183975754,70.98575841795818,1000,50,50,0.4501441008267603,0.07142857142857142,1000
stepwiseBFGS,0.00013114315540172246,12.377812566542023,1000,50,50,0.5387881241315222,0.07142857142857142,1000
stepwiseBFGS,8.165824253555964e-05,13.926272714206373,1000,50,50,0.5290679867857032,0.07142857142857142,1000
stepwiseBFGS,9.632380137346721e-05,14.020778261975078,1000,50,50,0.5126262330664219,0.07142857142857142,1000
stepwiseBFGS,9.776211041304973e-05,8.80786064156621,1000,50,50,0.5737288855367041,0.07142857142857142,1000
BFGS,7.434132832606235e-05,8.08939230086945,2000,50,50,0.6311287903311829,0.07142857142857142,1000
BFGS,4.3374058132821624e-05,6.843954248647527,2000,50,50,0.6072564407151795,0.07142857142857142,1000
BFGS,7.434275219275262e-05,20.324952864883464,2000,50,50,0.7426354521946797,0.07142857142857142,1000
BFGS,4.244340650037329e-05,4.287928031303798,2000,50,50,0.5871265745075039,0.07142857142857142,1000
BFGS,1.997353653424272e-05,2.946008975720578,2000,50,50,0.6747817125775883,0.07142857142857142,1000
BFGS,9.182153962466489e-05,32.783067567616676,2000,50,50,0.4501441008267603,0.07142857142857142,1000
BFGS,0.00014211103800952697,17.781926764430164,2000,50,50,0.5387881241315222,0.07142857142857142,1000
BFGS,6.462123848701912e-05,4.759577090325497,2000,50,50,0.5290679867857032,0.07142857142857142,1000
BFGS,3.981987073856875e-05,5.294747879100347,2000,50,50,0.5126262330664219,0.07142857142857142,1000
BFGS,9.715404633037646e-05,12.001563930725426,2000,50,50,0.5737288855367041,0.07142857142857142,1000
stepwiseBFGS,7.430277180273757e-05,8.087534586506841,2000,50,50,0.6311287903311829,0.07142857142857142,1000
stepwiseBFGS,4.3376572337800864e-05,6.8449547120148475,2000,50,50,0.6072564407151795,0.07142857142857142,1000
stepwiseBFGS,7.428061698890779e-05,20.308543860594035,2000,50,50,0.7426354521946797,0.07142857142857142,1000
stepwiseBFGS,4.2407932398038155e-05,4.286656023528294,2000,50,50,0.5871265745075039,0.07142857142857142,1000
stepwiseBFGS,1.9965895759077576e-05,2.9446848712860207,2000,50,50,0.6747817125775883,0.07142857142857142,1000
stepwiseBFGS,9.188880768597096e-05,32.81575136065269,2000,50,50,0.4501441008267603,0.07142857142857142,1000
stepwiseBFGS,0.00014203353713151257,17.777047891702303,2000,50,50,0.5387881241315222,0.07142857142857142,1000
stepwiseBFGS,6.471655502438551e-05,4.759173753888506,2000,50,50,0.5290679867857032,0.07142857142857142,1000
stepwiseBFGS,3.982639984591798e-05,5.295442377220253,2000,50,50,0.5126262330664219,0.07142857142857142,1000
stepwiseBFGS,9.714750421098007e-05,12.000973700954498,2000,50,50,0.5737288855367041,0.07142857142857142,1000
BFGS,2.8906720904533708e-05,5.8646525209686695,5000,50,50,0.6311287903311829,0.07142857142857142,1000
BFGS,1.400777725527297e-05,1.6140965038388535,5000,50,50,0.6072564407151795,0.07142857142857142,1000
BFGS,2.9884939475847798e-05,4.430645818703287,5000,50,50,0.7426354521946797,0.07142857142857142,1000
BFGS,2.477222233665378e-05,3.1773826697440763,5000,50,50,0.5871265745075039,0.07142857142857142,1000
BFGS,1.160951675460066e-05,2.734116892712005,5000,50,50,0.6747817125775883,0.07142857142857142,1000
